rank,company,posting_records,share_of_records,cumulative_share
215,CommScope,9,0.0009229822582299251,0.5422007999179571
216,Nasdaq,9,0.0009229822582299251,0.5431237821761871
217,Entegris,9,0.0009229822582299251,0.544046764434417
218,General Dynamics UK,9,0.0009229822582299251,0.5449697466926469
219,LMI,9,0.0009229822582299251,0.5458927289508768
220,Sun Life,9,0.0009229822582299251,0.5468157112091068
221,Expedia Group,9,0.0009229822582299251,0.5477386934673367
222,Menasha Corporation,9,0.0009229822582299251,0.5486616757255666
223,ASM Global,9,0.0009229822582299251,0.5495846579837965
224,The Home Depot,9,0.0009229822582299251,0.5505076402420265
225,Savannah River National Laboratory,9,0.0009229822582299251,0.5514306225002564
226,Voyager Technologies,9,0.0009229822582299251,0.5523536047584863
227,Ensora Health,9,0.0009229822582299251,0.5532765870167162
228,Primetals Technologies,9,0.0009229822582299251,0.5541995692749462
229,F5,9,0.0009229822582299251,0.5551225515331761
230,Eurofins,9,0.0009229822582299251,0.556045533791406
231,OCLC,9,0.0009229822582299251,0.5569685160496359
232,Live Nation Entertainment,9,0.0009229822582299251,0.5578914983078659
233,The Campbell's Company,9,0.0009229822582299251,0.5588144805660958
234,Snap,8,0.0008204286739821557,0.559634909240078
235,Capital One,8,0.0008204286739821557,0.5604553379140601
236,Uline,8,0.0008204286739821557,0.5612757665880422
237,Kinaxis,8,0.0008204286739821557,0.5620961952620244
238,Flagship Pioneering,8,0.0008204286739821557,0.5629166239360066
239,Rheem,8,0.0008204286739821557,0.5637370526099887
240,KLA Corporation,8,0.0008204286739821557,0.5645574812839709
241,Insulet Corporation,8,0.0008204286739821557,0.565377909957953
242,Cambridge Associates,8,0.0008204286739821557,0.5661983386319351
243,Elevance Health,8,0.0008204286739821557,0.5670187673059174
244,Gannet Fleming,8,0.0008204286739821557,0.5678391959798995
245,Flextronics International,8,0.0008204286739821557,0.5686596246538816
246,Vanderlande Industries,8,0.0008204286739821557,0.5694800533278638
247,Jain Global,8,0.0008204286739821557,0.5703004820018459
248,Itron,8,0.0008204286739821557,0.5711209106758282
249,SWBC,8,0.0008204286739821557,0.5719413393498103
250,Elsevier,8,0.0008204286739821557,0.5727617680237924
251,Scout Motors,8,0.0008204286739821557,0.5735821966977745
252,Precisely,8,0.0008204286739821557,0.5744026253717568
253,Palantir,8,0.0008204286739821557,0.5752230540457389
254,Premera Blue Cross,8,0.0008204286739821557,0.5760434827197211
255,ABC Fitness,8,0.0008204286739821557,0.5768639113937032
256,Eulerity,8,0.0008204286739821557,0.5776843400676853
257,GM financial,7,0.0007178750897343862,0.5784022151574197
258,Washpost,7,0.0007178750897343862,0.5791200902471542
259,Camping World,7,0.0007178750897343862,0.5798379653368885
260,Evolve Technology,7,0.0007178750897343862,0.5805558404266229
261,Vistra,7,0.0007178750897343862,0.5812737155163573
262,LabCorp,7,0.0007178750897343862,0.5819915906060917
263,Sony Pictures Entertainment,7,0.0007178750897343862,0.582709465695826
264,Realtor.com,7,0.0007178750897343862,0.5834273407855605
265,FactSet,7,0.0007178750897343862,0.5841452158752949
266,Premier,7,0.0007178750897343862,0.5848630909650292
267,Empower,7,0.0007178750897343862,0.5855809660547636
268,McKesson,7,0.0007178750897343862,0.586298841144498
269,Experian,7,0.0007178750897343862,0.5870167162342323
270,DotDash Meredith,7,0.0007178750897343862,0.5877345913239668
271,Together AI,7,0.0007178750897343862,0.5884524664137012
272,Definity Financial,7,0.0007178750897343862,0.5891703415034355
273,Commvault,7,0.0007178750897343862,0.5898882165931699
274,Verkada,7,0.0007178750897343862,0.5906060916829043
275,SK hynix,7,0.0007178750897343862,0.5913239667726387
276,Caterpillar Inc.,7,0.0007178750897343862,0.5920418418623731
277,Crowdstrike,7,0.0007178750897343862,0.5927597169521075
278,Waymo,7,0.0007178750897343862,0.5934775920418419
279,Eversource Energy,7,0.0007178750897343862,0.5941954671315762
280,Thermo Fisher Scientific,7,0.0007178750897343862,0.5949133422213106
281,Merck,7,0.0007178750897343862,0.5956312173110451
282,Trimble,7,0.0007178750897343862,0.5963490924007794
283,Nidec,7,0.0007178750897343862,0.5970669674905138
284,CFD Research Corporation,7,0.0007178750897343862,0.5977848425802482
285,City of Austin,7,0.0007178750897343862,0.5985027176699825
286,Healthfirst,7,0.0007178750897343862,0.599220592759717
287,Seaspan,7,0.0007178750897343862,0.5999384678494514
288,Prolaio,7,0.0007178750897343862,0.6006563429391857
289,Boston Dynamics,7,0.0007178750897343862,0.6013742180289201
290,Moderna,7,0.0007178750897343862,0.6020920931186545
291,Vertiv,7,0.0007178750897343862,0.6028099682083888
292,Robert Half,7,0.0007178750897343862,0.6035278432981233
293,Gelber Group,7,0.0007178750897343862,0.6042457183878577
294,Fresenius Kabi,7,0.0007178750897343862,0.604963593477592
295,Transcarent,7,0.0007178750897343862,0.6056814685673264
296,Inogen,7,0.0007178750897343862,0.6063993436570608
297,SS&C,7,0.0007178750897343862,0.6071172187467953
298,Cambridge Mobile Telematics,7,0.0007178750897343862,0.6078350938365296
299,Curtiss-Wright Corporation,7,0.0007178750897343862,0.608552968926264
300,Leonardo,7,0.0007178750897343862,0.6092708440159984
301,Zayo,7,0.0007178750897343862,0.6099887191057327
302,Nightwing Intelligence Solutions,7,0.0007178750897343862,0.6107065941954671
303,Environmental Defense Fund,7,0.0007178750897343862,0.6114244692852016
304,DXC Technology,7,0.0007178750897343862,0.6121423443749359
305,Fortive,7,0.0007178750897343862,0.6128602194646703
306,AT&T,6,0.0006153215054866168,0.6134755409701569
307,JP Morgan Chase,6,0.0006153215054866168,0.6140908624756435
308,Takeda,6,0.0006153215054866168,0.6147061839811302
309,AccuWeather,6,0.0006153215054866168,0.6153215054866168
310,Cummins,6,0.0006153215054866168,0.6159368269921034
311,Port Authority NY NJ,6,0.0006153215054866168,0.61655214849759
312,Seagate Technology,6,0.0006153215054866168,0.6171674700030766
313,Airbnb,6,0.0006153215054866168,0.6177827915085632
314,Zoetis,6,0.0006153215054866168,0.6183981130140498
315,Dropbox,6,0.0006153215054866168,0.6190134345195365
316,Berkshire Hathaway Energy,6,0.0006153215054866168,0.6196287560250231
317,The Aerospace Corporation,6,0.0006153215054866168,0.6202440775305097
318,Xometry,6,0.0006153215054866168,0.6208593990359963
319,VSP Vision,6,0.0006153215054866168,0.6214747205414829
320,Metropolitan Transportation Authority,6,0.0006153215054866168,0.6220900420469695
321,Plug Power,6,0.0006153215054866168,0.6227053635524562
322,DC Water,6,0.0006153215054866168,0.6233206850579428
323,CSAA Insurance Group,6,0.0006153215054866168,0.6239360065634294
324,Peraton,6,0.0006153215054866168,0.624551328068916
325,Mastercard,6,0.0006153215054866168,0.6251666495744026
326,Astera Labs,6,0.0006153215054866168,0.6257819710798892
327,UiPath,6,0.0006153215054866168,0.6263972925853759
328,Biogen,6,0.0006153215054866168,0.6270126140908625
329,Booz Allen,6,0.0006153215054866168,0.6276279355963491
330,Rubrik,6,0.0006153215054866168,0.6282432571018357
331,Arcadis,6,0.0006153215054866168,0.6288585786073223
332,Western Alliance,6,0.0006153215054866168,0.6294739001128089
333,EverCommerce,6,0.0006153215054866168,0.6300892216182956
334,Dell Technologies,6,0.0006153215054866168,0.6307045431237822
335,Citizens Financial Group,6,0.0006153215054866168,0.6313198646292688
336,Field AI,6,0.0006153215054866168,0.6319351861347554
337,LPL Financial Holdings,6,0.0006153215054866168,0.632550507640242
338,Harbinger Motors,6,0.0006153215054866168,0.6331658291457286
339,G-Research,6,0.0006153215054866168,0.6337811506512152
340,Apptronik,6,0.0006153215054866168,0.6343964721567019
341,Globus Medical,6,0.0006153215054866168,0.6350117936621885
342,IXL Learning,6,0.0006153215054866168,0.6356271151676751
343,Valeo,6,0.0006153215054866168,0.6362424366731617
344,EBSCO,6,0.0006153215054866168,0.6368577581786483
345,Impinj,6,0.0006153215054866168,0.6374730796841349
346,Ensemble Health Partners,6,0.0006153215054866168,0.6380884011896216
347,Applied Intuition,6,0.0006153215054866168,0.6387037226951082
348,Interac,6,0.0006153215054866168,0.6393190442005948
349,Cleveland Clinic,6,0.0006153215054866168,0.6399343657060814
350,Vantage Data Centers,6,0.0006153215054866168,0.640549687211568
351,Intermountain Healthcare,6,0.0006153215054866168,0.6411650087170546
352,Critical Mass,6,0.0006153215054866168,0.6417803302225413
353,Kensington,6,0.0006153215054866168,0.6423956517280279
354,Continental,6,0.0006153215054866168,0.6430109732335145
355,Geisinger,6,0.0006153215054866168,0.6436262947390011
356,Cypress Creek Renewables,6,0.0006153215054866168,0.6442416162444877
357,Monolithic Power Systems,6,0.0006153215054866168,0.6448569377499743
358,Cambium Learning Group,6,0.0006153215054866168,0.645472259255461
359,Rolls-Royce Motorcars,6,0.0006153215054866168,0.6460875807609476
360,Legal & General,6,0.0006153215054866168,0.6467029022664342
361,Nasuni,6,0.0006153215054866168,0.6473182237719208
362,Fortinet,6,0.0006153215054866168,0.6479335452774074
363,Ryder System,6,0.0006153215054866168,0.648548866782894
364,University System of New Hampshire,6,0.0006153215054866168,0.6491641882883806
365,SanMar,6,0.0006153215054866168,0.6497795097938673
366,MSX International,6,0.0006153215054866168,0.6503948312993539
367,Mercedes-Benz,6,0.0006153215054866168,0.6510101528048405
368,DNV,6,0.0006153215054866168,0.6516254743103271
369,Susquehanna International Group (SIG),6,0.0006153215054866168,0.6522407958158137
370,Quadric,6,0.0006153215054866168,0.6528561173213003
371,Lila Sciences,6,0.0006153215054866168,0.653471438826787
372,LiveRamp,6,0.0006153215054866168,0.6540867603322736
373,Meshy,6,0.0006153215054866168,0.6547020818377602
374,Howard University,6,0.0006153215054866168,0.6553174033432468
375,Block,5,0.0005127679212388473,0.6558301712644857
376,Tokyo Electron,5,0.0005127679212388473,0.6563429391857245
