sell_through,annual_budget_uni,new_mint_uni,low_burn_uni,high_burn_uni,low_net_absorption_uni,high_net_absorption_uni
0,20000000,0,13260086.907394271,15930222.222222222,13260086.907394271,15930222.222222222
0.25,20000000,0,13260086.907394271,15930222.222222222,8260086.907394271,10930222.222222222
0.5,20000000,0,13260086.907394271,15930222.222222222,3260086.9073942713,5930222.222222222
0.6630043453697135,20000000,0,13260086.907394271,15930222.222222222,0.0,2670135.3148279507
0.75,20000000,0,13260086.907394271,15930222.222222222,-1739913.0926057287,930222.222222222
0.7965111111111111,20000000,0,13260086.907394271,15930222.222222222,-2670135.3148279507,0.0
1,20000000,0,13260086.907394271,15930222.222222222,-6739913.092605729,-4069777.777777778
